X,Y,Z,formation
552515.2006226572,-11944.941207217784,-78.55141516050793,Cretaceous
552735.6532381477,-12089.117217748626,-79.48791581527144,Cretaceous
553343.3206512596,-12486.531705923817,-81.99249039332713,Cretaceous
554257.6672119532,-13084.514356617357,-85.60774781532291,Cretaceous
555398.1572701884,-13830.39485470324,-89.87629700190647,Cretaceous
556684.2551759258,-14671.502885055463,-94.34074687372572,Cretaceous
558035.4252791253,-15555.168132547999,-98.54370635142843,Cretaceous
559371.1319297475,-16428.720282054874,-102.02778435566242,Cretaceous
560610.8394777523,-17239.489018450065,-104.33558980707551,Cretaceous
561674.0122731003,-17934.804026607577,-105.00973162631558,Cretaceous
562480.1146657513,-18461.9949914014,-103.59281873403035,Cretaceous
563315.7978291097,-19008.53178023777,-96.22416481957097,Cretaceous
564667.8085817699,-19892.74681247753,-83.70522526876616,Cretaceous
565904.5786676519,-20701.5944486443,-74.63310259761025,Cretaceous
567033.3898270811,-21439.836946911026,-68.65084134977656,Cretaceous
568061.5238003832,-22112.23656545062,-65.40148606893842,Cretaceous
568996.2623278839,-22723.555562436028,-64.52808129876931,Cretaceous
569844.8871499085,-23278.55619604017,-65.67367158294252,Cretaceous
570614.6800067829,-23782.000724435973,-68.4813014651314,Cretaceous
571312.9226388324,-24238.651405796365,-72.59401548900937,Cretaceous
571946.8967863827,-24653.27049829429,-77.65485819824977,Cretaceous
572523.8841897594,-25030.620260102638,-83.30687413652598,Cretaceous
573051.166589288,-25375.46294939438,-89.19310784751136,Cretaceous
573536.0257252943,-25692.560824342414,-94.9566038748793,Cretaceous
573985.7433381035,-25986.676143119686,-100.2404067623032,Cretaceous
574407.6011680415,-26262.57116389912,-104.68756105345634,Cretaceous
574808.8809554337,-26525.00814485363,-107.94111129201215,Cretaceous
575196.8644406057,-26778.749344156175,-109.64410202164396,Cretaceous
576087.2936215498,-27361.090028493567,-109.29633740367902,Cretaceous
577169.1104767763,-28068.598251811647,-108.39611765227173,Cretaceous
578016.0593844617,-28622.50283743796,-108.00002042896008,Cretaceous
578973.536396597,-29248.692803374495,-108.45101018515507,Cretaceous
580015.6110067411,-29930.20959840868,-109.56639959619875,Cretaceous
581031.7419671965,-30594.759246546473,-110.5970830326863,Cretaceous
582207.3199582427,-31363.58725269073,-111.58098766485733,Cretaceous
583451.7368291127,-32177.435886239706,-112.3234507091496,Cretaceous
584674.3844290391,-32977.04741659157,-112.62980938200099,Cretaceous
585784.6546072548,-33703.16411314459,-112.30540089984916,Cretaceous
586691.9392129922,-34296.52824529694,-111.15556247913204,Cretaceous
587388.9531251596,-34752.37534385435,-108.70990403315855,Cretaceous
588279.6325761073,-35334.879704774154,-104.05130645520356,Cretaceous
589260.0230614964,-35976.05508221868,-98.1913874674338,Cretaceous
590187.1276274476,-36582.38146835074,-91.99983424805725,Cretaceous
590917.9493200813,-37060.33885533318,-86.34633397528188,Cretaceous
